course_code,course_name,twelve_id
C01,管理学B,1.2
C01,管理学B,2.1
C02,基础会计学,1.2
C02,基础会计学,2.1
C02,基础会计学,8.2
C03,公司理财,1.2
C03,公司理财,2.1
C03,公司理财,11.1
C04,应用统计分析与R语言,2.1
C04,应用统计分析与R语言,4.3
C04,应用统计分析与R语言,5.1
C04,应用统计分析与R语言,5.2
C05,信息系统,1.1
C05,信息系统,5.1
C06,财务管理专业导论,7.1
C06,财务管理专业导论,8.2
C06,财务管理专业导论,12.1
C07,信息检索,5.1
C07,信息检索,10.2
C08,中级财务会计,1.3
C08,中级财务会计,2.2
C08,中级财务会计,3.1
C08,中级财务会计,4.1
C08,中级财务会计,8.2
C09,中高级财务管理,1.3
C09,中高级财务管理,2.2
C09,中高级财务管理,3.1
C09,中高级财务管理,4.1
C09,中高级财务管理,7.1
C10,创业型中小企业投融资管理,3.1
C10,创业型中小企业投融资管理,3.2
C10,创业型中小企业投融资管理,9.2
C11,审计学A,1.3
C11,审计学A,4.1
C11,审计学A,8.2
C11,审计学A,10.2
C11,审计学A,11.2
C12,财务报表分析A,1.3
C12,财务报表分析A,2.2
C12,财务报表分析A,3.1
C12,财务报表分析A,4.2
C13,管理会计,1.3
C13,管理会计,2.2
C13,管理会计,3.2
C13,管理会计,4.1
C13,管理会计,11.2
C14,财务估值与投资,3.2
C14,财务估值与投资,10.2
C14,财务估值与投资,11.1
C15,项目评价与投资,3.2
C15,项目评价与投资,9.1
C15,项目评价与投资,11.2
C16,研究方法与论文写作,2.2
C16,研究方法与论文写作,4.2
C16,研究方法与论文写作,5.2
C16,研究方法与论文写作,10.2
C17,商业伦理与会计职业道德,8.2
C17,商业伦理与会计职业道德,12.2
C18,会计综合课程设计与劳动实践,3.3
C18,会计综合课程设计与劳动实践,6.2
C18,会计综合课程设计与劳动实践,10.1
C19,专业认识实习,9.1
C19,专业认识实习,10.1
C19,专业认识实习,12.2
C20,上市公司财务与会计综合案例,3.2
C20,上市公司财务与会计综合案例,9.2
C20,上市公司财务与会计综合案例,10.1
C21,财务综合课程设计,3.3
C21,财务综合课程设计,7.2
C21,财务综合课程设计,9.1
C21,财务综合课程设计,10.1
C22,内部控制与审计课程设计,3.3
C22,内部控制与审计课程设计,9.2
C22,内部控制与审计课程设计,10.1
C23,毕业实习,5.1
C23,毕业实习,8.2
C23,毕业实习,11.2
C24,毕业设计,2.3
C24,毕业设计,3.3
C24,毕业设计,4.3
C24,毕业设计,6.2
C24,毕业设计,7.2
C24,毕业设计,10.1
C24,毕业设计,11.2