nine_id,nine_text
1.1,有正确的世界观、人生观和价值观，具有人文底蕴、积极的审美情趣，崇尚劳动，了解国情、社情、民情。
1.2,具备社会责任感，践行社会主义核心价值观。
1.3,具有科学精神，具备较好的心理素质，具备良好的职业素养，遵守职业道德和职业规范。
2.1,深入掌握从事财务管理相关工作所需的数学、计算机、经济学、管理学等基础知识，能应用于财务管理相关问题的分析与决策。
2.2,深入掌握从事财务管理领域相关工作所需的会计、财务管理、审计等专业基础知识和研究方法。
2.3,了解财务管理专业相关领域最新动态和发展趋势。
3.1,能够掌握财务管理领域适用的创新思维、工具和分析方法，具有创新意识和创新思维。
3.2,能够应用数学、统计学、经济学和管理学的基本知识与原理，发现、辨析、评价财务管理相关领域相关现象与问题，并形成个人判断、见解，培养逻辑思辨能力。
3.3,能够应用会计、财务管理、审计的基本知识与原理，发现、辨析、评价财务管理领域相关现象与问题，并形成个人判断、见解，培养专业创新能力。
4.1,能够应用财务管理、信息技术及相关学科的原理，对基本的管理问题进行识别和表达。
4.2,能够运用系统思维，对财务管理专业领域复杂问题进行综合分析和研究。
4.3,能够针对财务管理领域相关的复杂问题，根据既定规范和使用者需求，提出合理的对策或解决方案。
5.1,能够使用相关的网络工具、数据库等信息技术，查询并分析解决财务管理领域相关的复杂问题所需的研究资料。
5.2,能够针对财务管理领域相关的复杂问题，选择与使用恰当的现代信息技术手段和工具解决财务管理专业实际问题。
5.3,了解信息技术的最新发展趋势，熟悉相应的软件和平台，具备数字经济素养，信息安全意识。
6.1,能够对财务管理专业相关领域的问题进行书面表达，了解书面表达的学术规范。
6.2,能够通过书面报告和口头陈述清晰地表达财务管理领域相关的复杂问题的解决方案、过程和结果，回应质疑。
7.1,具有团队合作意识，能够在团队合作中进行分工与协作，合理处理个人与团队的关系。
7.2,具备团队协调和组织管理能力，能合理制订工作计划，并协调完成工作任务。
8.1,了解财务管理专业领域的国际发展趋势、研究热点，具有一定的国际视野，具备一定的跨文化交流能力。
8.2,了解各国财务管理领域相关制度的差异性，理解和尊重世界不同文化的差异性和多样性，具备一定的跨文化管理能力。
9.1,身体健康、心理健全，具备终身学习意识，掌握自主学习的方法和途径。
9.2,通过不断学习，持续提升自身能力，适应社会和个人可持续发展。