twelve_id,twelve_text
1.1,深入掌握从事财务管理工作所需的数学、信息技术等基础知识，能应用于财务管理管理相关问题。
1.2,深入掌握从事财务管理领域相关工作所需的专业基础知识，能用于财务管理领域相关问题的分析与决策
1.3,深入掌握从事财务管理工作所需的会计、财务、审计等专业知识，能用于解决财务管理领域相关的复杂实践问题。
2.1,能够应用数学、统计学、经济学和管理学的基本原理，对财务管理领域相关的复杂问题进行识别和表达。
2.2,能够应用数学、统计学、经济学和财务管理的基本知识、基本原理，对财务管理领域相关的复杂问题进行定性定量分析。
2.3,能运用文献检索、资料查询的基本方法及现代技术获取相关信息，具有信息分析和研究的能力，并用于财务管理领域相关的复杂问题的分析和推理，获得有效结论。
3.1,了解财务管理前沿现状和发展趋势，熟悉管理问题解决的基本流程，掌握解决财务管理领域复杂问题的方法和技术。
3.2,能够针对财务管理领域相关的复杂问题的解决方案进行可行性研究，并能够考虑社会、健康、安全、法律、文化以及环境等因素。
3.3,能够针对财务管理领域相关的复杂问题，根据既定规范和使用者需求，提出合理的解决方案，并在设计中体现创新意识。
4.1,能够基于科学原理对财务管理领域相关的复杂问题进行分析，按照问题需要设计研究方案。
4.2,掌握基本的社会科学研究方法，能够根据研究目标构建研究框架，按照合理步骤展开研究并获取数据。
4.3,掌握基本的数据处理与分析方法，能够对采集到的数据进行解释与分析，并通过信息综合得到合理有效的结论。
5.1,学会使用相关的网络工具、数据库等信息技术，查询并分析解决财务管理领域相关的复杂问题所需的相关研究资料。
5.2,能够针对财务管理领域相关的复杂问题，选择与使用恰当的技术手段和现代管理工具进行预测与分析，并能够在实践过程中领会相关工具的局限性。
6.1,能够正确认识财务管理和客观世界的相互关系和相互影响，理解不同社会文化对财务管理活动的影响，了解财务管理专业相关领域的法律法规准则等。
6.2,能够分析和评价财务管理实践中复杂问题解决方案对社会、健康、安全、法律以及文化的影响，并理解应承担的责任。
7.1,知晓和理解环境保护和可持续发展的理念和内涵，建立环境保护和可持续发展的意识。
7.2,树立可持续发展的理念，能够正确评估财务管理领域相关复杂问题的实践对环境和社会可持续发展的影响。
8.1,有正确的世界观、人生观和价值观，理解个人与社会的关系，了解中国国情，树立社会主义核心价值观。
8.2,理解财务人员的社会责任，遵守职业道德和行为规范。
9.1,了解财务管理领域相关问题的多学科背景和特点，能够在团队合作中进行分工与协作，合理处理个人与团队的关系，完成所承担的任务。
9.2,具备一定的组织管理能力，能合理制订工作计划，并协调完成工作任务。
10.1,能够通过书面报告和口头陈述清晰地表达财务管理领域相关的复杂问题的解决方案、过程和结果，回应质疑。
10.2,了解专业领域的国际发展趋势、研究热点，具有一定的国际视野，具备跨文化交流的语言和书面表达能力，能就专业问题，在跨文化背景下进行基本沟通和交流。
11.1,掌握技术方案的经济分析与决策方法、环境保护的经济评价方法等相关知识。
11.2,能运用系统工程的观点、理论和方法，对项目涉及的全部工作进行管理，并应用于多学科环境中财务管理领域相关的复杂管理问题的解决。
12.1,对终身学习有正确的认识，掌握自主学习的方法和途径。
12.2,具有通过实践、调研不断学习和适应发展的能力。